,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,CaseNumber,IUCR,Primary Type,Arrest,Domestic,Beat,District,FBI Code,Year,Crime_Date,Crime_Time,Month,Day,DayOT,Crime_Date_Day,Crime_month,CrimeType,Date,code_Crime_Time,code_Date,code_Primary,Labels
721154,721154,721154,721154,HX101381,5007,5007,0,0,1652,16,26,2014,2014-01-02,11:45:00,January,Thursday,Morning,2,1,group3,2/1,1413,132,341,0
749027,749027,749027,749027,HX166956,2024,2024,1,0,1121,11,18,2014,2014-02-27,20:44:00,February,Thursday,Evening,27,2,group5,27/2,4095,232,251,1
591793,591793,591793,591793,HW395336,1320,1320,0,0,621,6,14,2013,2013-08-05,19:00:00,August,Monday,Evening,5,8,group1,5/8,3616,316,152,1
183500,183500,183500,183500,HV272302,0820,0820,0,0,921,9,06,2012,2012-05-05,07:30:00,May,Saturday,Morning,5,5,group1,5/5,569,313,84,2
1268312,1268312,1268312,1268312,HZ151683,1811,1811,1,0,1522,15,18,2016,2016-02-14,18:10:00,February,Sunday,Evening,14,2,group5,14/2,3340,64,229,1
507900,507900,507900,507900,HW261210,0810,0810,0,0,1812,18,06,2013,2013-05-04,19:30:00,May,Saturday,Evening,4,5,group1,4/5,3763,301,83,1
643081,643081,643081,643081,HW475816,1130,1130,0,0,813,8,11,2013,2013-02-25,22:30:00,February,Monday,Evening,25,2,group5,25/2,4419,208,121,1
645702,645702,645702,645702,HW480263,143A,143A,1,0,733,7,15,2013,2013-10-05,00:50:00,October,Saturday,Night,5,10,group2,5/10,80,307,168,2
523767,523767,523767,523767,HW286452,1150,1150,0,0,622,6,11,2013,2013-05-22,17:33:00,May,Wednesday,Afternoon,22,5,group5,22/5,3142,175,124,1
677375,677375,677375,677375,HW531940,5001,5001,1,0,1134,11,26,2013,2013-11-13,13:38:00,November,Wednesday,Afternoon,13,11,group3,13/11,1965,50,337,0
900021,900021,900021,900021,HX420543,0610,0610,0,0,912,9,05,2014,2014-09-07,10:00:00,September,Sunday,Morning,7,9,group1,7/9,906,341,79,2
307555,307555,307555,307555,HV466257,0820,0820,0,0,432,4,06,2012,2012-09-04,18:04:00,September,Tuesday,Evening,4,9,group1,4/9,3307,305,84,1
433811,433811,433811,433811,HW142038,1811,1811,1,0,1731,17,18,2013,2013-02-02,20:29:00,February,Saturday,Evening,2,2,group5,2/2,4043,136,229,1
1348159,1348159,1348159,1348159,HZ407509,0530,0530,0,0,424,4,04A,2016,2016-08-26,04:38:00,August,Friday,Night,26,8,group2,26/8,351,226,62,2
1264889,1264889,1264889,1264889,HY467519,0820,0820,0,0,1624,16,06,2015,2015-10-19,05:54:00,October,Monday,Night,19,10,group1,19/10,440,121,84,2
