,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,CaseNumber,IUCR,Primary Type,Arrest,Domestic,Beat,District,FBI Code,Year,Crime_Date,Crime_Time,Month,Day,DayOT,Crime_Date_Day,Crime_month,CrimeType,Date,code_Crime_Time,code_Date,code_Primary,Labels
505509,505509,505509,505509,HW257405,0460,0460,0,0,1532,15,08B,2013,2013-05-02,15:20:00,May,Thursday,Afternoon,2,5,group2,2/5,2461,139,39,0
931126,931126,931126,931126,HX473654,0810,0810,0,0,233,2,06,2014,2014-10-17,10:00:00,October,Friday,Morning,17,10,group1,17/10,906,97,83,2
384048,384048,384048,384048,HV586441,2820,2820,0,0,2535,25,26,2012,2012-12-02,23:00:00,December,Sunday,Evening,2,12,group3,2/12,4485,135,283,1
960609,960609,960609,960609,HX524978,1153,1153,0,0,1632,16,11,2014,2014-11-15,12:00:00,November,Saturday,Afternoon,15,11,group5,15/11,1493,74,127,0
384643,384643,384643,384643,HV587551,0810,0810,0,0,1913,19,06,2012,2012-12-02,01:00:00,December,Sunday,Night,2,12,group1,2/12,93,135,83,2
426599,426599,426599,426599,HW130150,1811,1811,1,0,1522,15,18,2013,2013-01-24,19:53:00,January,Thursday,Evening,24,1,group5,24/1,3886,192,229,1
267178,267178,267178,267178,HV403042,0610,0610,0,0,1313,12,05,2012,2012-07-27,16:00:00,July,Friday,Afternoon,27,7,group1,27/7,2672,237,79,0
44720,44720,44720,44720,HY130895,1821,1821,1,0,1522,15,18,2015,2015-01-27,18:20:00,January,Tuesday,Evening,27,1,group5,27/1,3405,228,231,1
348537,348537,348537,348537,HV530683,0910,0910,0,0,2522,25,07,2012,2012-10-22,18:00:00,October,Monday,Evening,22,10,group1,22/10,3287,169,97,1
881487,881487,881487,881487,HX389454,0479,0479,0,0,1523,15,04B,2014,2014-08-15,20:00:00,August,Friday,Evening,15,8,group2,15/8,3915,82,44,1
87761,87761,87761,87761,HV118701,501A,501A,0,0,1212,12,26,2012,2012-01-14,14:00:00,January,Saturday,Afternoon,14,1,group3,14/1,2074,60,348,0
462641,462641,462641,462641,HW189271,1242,1242,0,0,1925,19,11,2013,2013-03-11,11:30:00,March,Monday,Morning,11,3,group5,11/3,1332,29,144,2
433841,433841,433841,433841,HW142083,1210,1210,1,0,1832,18,11,2013,2013-02-02,21:10:00,February,Saturday,Evening,2,2,group5,2/2,4185,136,138,1
445979,445979,445979,445979,HW161555,0890,0890,0,0,114,1,06,2013,2013-02-18,17:47:00,February,Monday,Afternoon,18,2,group1,18/2,3225,112,95,1
738097,738097,738097,738097,HX146954,5000,5000,0,0,1221,12,26,2014,2014-02-04,19:00:00,February,Tuesday,Evening,4,2,group3,4/2,3616,298,336,1
742924,742924,742924,742924,HX156232,2027,2027,1,0,624,6,18,2014,2014-02-18,21:40:00,February,Tuesday,Evening,18,2,group5,18/2,4282,112,254,1
307126,307126,307126,307126,HV465584,0870,0870,0,0,124,1,06,2012,2012-09-07,14:00:00,September,Friday,Afternoon,7,9,group1,7/9,2074,341,93,0
302184,302184,302184,302184,HV457653,041A,041A,0,0,232,2,04B,2012,2012-09-02,03:05:00,September,Sunday,Night,2,9,group2,2/9,247,143,30,2
1075907,1075907,1075907,1075907,HY348161,0810,0810,0,0,1221,12,06,2015,2015-07-19,19:50:00,July,Sunday,Evening,19,7,group1,19/7,3872,129,83,1
460725,460725,460725,460725,HW186047,0420,0420,0,0,2534,25,04B,2013,2013-03-10,00:37:00,March,Sunday,Night,10,3,group2,10/3,61,17,32,2
1032502,1032502,1032502,1032502,HY271942,2825,2825,0,1,533,5,26,2015,2015-05-23,11:00:00,May,Saturday,Morning,23,5,group3,23/5,1157,187,284,2
132089,132089,132089,132089,HV190547,0810,0810,0,0,1713,17,06,2012,2012-03-05,17:00:00,March,Monday,Afternoon,5,3,group1,5/3,2982,311,83,0
1243957,1243957,1243957,1243957,HZ190043,0486,0486,1,1,1211,12,08B,2016,2016-03-16,22:12:00,March,Wednesday,Evening,16,3,group2,16/3,4369,89,51,1
383935,383935,383935,383935,HV586256,4387,4387,1,1,523,5,26,2012,2012-12-02,19:20:00,December,Sunday,Evening,2,12,group3,2/12,3709,135,324,1
900905,900905,900905,900905,HX421996,0484,0484,0,0,1513,15,08B,2014,2014-09-09,14:10:00,September,Tuesday,Afternoon,9,9,group2,9/9,2124,365,49,0
111263,111263,111263,111263,HV156268,0486,0486,0,1,725,7,08B,2012,2012-02-13,11:20:00,February,Monday,Morning,13,2,group2,13/2,1277,52,51,2
1060281,1060281,1060281,1060281,HY320688,0460,0460,0,0,824,8,08B,2015,2015-06-19,15:00:00,June,Friday,Afternoon,19,6,group2,19/6,2373,128,39,0
84392,84392,84392,84392,HV112956,2820,2820,0,1,1032,10,26,2012,2012-01-10,18:30:00,January,Tuesday,Evening,10,1,group3,10/1,3450,12,283,1
180337,180337,180337,180337,HV267138,2022,2022,1,0,2522,25,18,2012,2012-05-01,22:52:00,May,Tuesday,Evening,1,5,group5,1/5,4467,7,249,1
666356,666356,666356,666356,HW513598,0890,0890,0,0,823,8,06,2013,2013-10-29,13:00:00,October,Tuesday,Afternoon,29,10,group1,29/10,1789,253,95,0
375789,375789,375789,375789,HV573507,0915,0915,1,0,332,3,07,2012,2012-10-17,20:00:00,October,Wednesday,Evening,17,10,group1,17/10,3915,97,98,1
766854,766854,766854,766854,HX197991,0890,0890,1,0,224,2,06,2014,2014-03-24,15:00:00,March,Monday,Afternoon,24,3,group1,24/3,2373,197,95,0
774685,774685,774685,774685,HX211189,0810,0810,0,0,531,5,06,2014,2014-04-03,16:00:00,April,Thursday,Afternoon,3,4,group1,3/4,2672,270,83,0
336512,336512,336512,336512,HV511154,0460,0460,0,0,624,6,08B,2012,2012-10-09,16:20:00,October,Tuesday,Afternoon,9,10,group2,9/10,2781,355,39,0
946141,946141,946141,946141,HX499187,143A,143A,1,0,1225,12,15,2014,2014-11-08,00:24:00,November,Saturday,Night,8,11,group2,8/11,36,344,168,2
1041073,1041073,1041073,1041073,HY286759,1122,1122,0,0,124,1,10,2015,2015-06-02,12:00:00,June,Tuesday,Afternoon,2,6,group5,2/6,1493,140,120,0
1007795,1007795,1007795,1007795,HY229063,1330,1330,1,0,1231,12,26,2015,2015-04-20,10:45:00,April,Monday,Morning,20,4,group1,20/4,1077,150,153,2
317248,317248,317248,317248,HV481052,031A,031A,0,0,331,3,03,2012,2012-09-18,04:00:00,September,Tuesday,Night,18,9,group2,18/9,308,119,18,2
782953,782953,782953,782953,HX225175,0486,0486,0,1,1211,12,08B,2014,2014-04-16,05:00:00,April,Wednesday,Night,16,4,group2,16/4,379,90,51,2
192329,192329,192329,192329,HV285996,1320,1320,0,0,825,8,14,2012,2012-05-14,10:00:00,May,Monday,Morning,14,5,group1,14/5,906,67,152,2
934059,934059,934059,934059,HX478475,031A,031A,1,0,112,1,03,2014,2014-10-23,04:15:00,October,Thursday,Night,23,10,group2,23/10,324,181,18,2
1406713,1406713,1406713,1406713,HZ508820,0460,0460,0,0,1111,11,08B,2016,2016-11-07,18:15:00,November,Monday,Evening,7,11,group2,7/11,3370,332,39,1
279574,279574,279574,279574,HV421952,0820,0820,0,0,111,1,06,2012,2012-08-08,20:50:00,August,Wednesday,Evening,8,8,group1,8/8,4124,352,84,1
981968,981968,981968,981968,HY103753,0820,0820,0,0,1713,17,06,2014,2014-12-29,13:00:00,December,Monday,Afternoon,29,12,group1,29/12,1789,255,84,0
124932,124932,124932,124932,HV178909,0910,0910,0,0,734,7,07,2012,2012-03-01,00:01:00,March,Thursday,Night,1,3,group1,1/3,2,5,97,2
840977,840977,840977,840977,HX322752,0454,0454,1,0,523,5,08B,2014,2014-06-28,16:40:00,June,Saturday,Afternoon,28,6,group2,28/6,2879,248,38,0
166169,166169,166169,166169,HV244671,0610,0610,0,0,2533,25,05,2012,2012-04-16,12:30:00,April,Monday,Afternoon,16,4,group1,16/4,1635,90,79,0
616875,616875,616875,616875,HW434396,0486,0486,0,1,1021,10,08B,2013,2013-09-02,13:55:00,September,Monday,Afternoon,2,9,group2,2/9,2047,143,51,0
1112169,1112169,1112169,1112169,HY410317,2170,2170,1,0,1821,18,18,2015,2015-09-04,15:05:00,September,Friday,Afternoon,4,9,group5,4/9,2395,305,276,0
1124652,1124652,1124652,1124652,HY432320,1320,1320,0,0,821,8,14,2015,2015-09-18,22:00:00,September,Friday,Evening,18,9,group1,18/9,4341,119,152,1
451931,451931,451931,451931,HW171381,0486,0486,0,1,531,5,08B,2013,2013-02-26,16:50:00,February,Tuesday,Afternoon,26,2,group2,26/2,2924,220,51,0
1186057,1186057,1186057,1186057,HY541609,0320,0320,0,0,1135,11,03,2015,2015-12-16,20:30:00,December,Wednesday,Evening,16,12,group2,16/12,4045,87,20,1
